date,jour_semaine,temperature_c,budget,dish_category
2025-01-01,Mer,5.1,12.57,Plat_du_jour
2025-01-01,Mer,5.1,17.15,Plat_du_jour
2025-01-02,Jeu,6.1,12.65,Entree
2025-01-02,Jeu,6.1,17.16,Vegetarien
2025-01-02,Jeu,6.1,13.72,Plat_du_jour
2025-01-03,Ven,5.1,8.12,Dessert
2025-01-03,Ven,5.1,8.51,Dessert
2025-01-03,Ven,5.1,24.53,Grill
2025-01-03,Ven,5.1,23.28,Grill
2025-01-04,Sam,8.0,18.16,Grill
2025-01-04,Sam,8.0,8.22,Dessert
2025-01-04,Sam,8.0,21.72,Grill
2025-01-05,Dim,7.3,12.15,Enfant
2025-01-05,Dim,7.3,21.99,Grill
2025-01-05,Dim,7.3,9.61,Enfant
2025-01-05,Dim,7.3,24.21,Grill
2025-01-06,Lun,7.3,10.07,Entree
2025-01-06,Lun,7.3,19.9,Plat_du_jour
2025-01-06,Lun,7.3,17.72,Plat_du_jour
2025-01-06,Lun,7.3,14.94,Plat_du_jour
2025-01-06,Lun,7.3,16.3,Plat_du_jour
2025-01-07,Mar,6.8,11.84,Entree
2025-01-07,Mar,6.8,16.93,Plat_du_jour
2025-01-08,Mer,2.5,14.79,Vegetarien
2025-01-08,Mer,2.5,8.36,Dessert
2025-01-09,Jeu,5.1,15.37,Plat_du_jour
2025-01-09,Jeu,5.1,10.71,Entree
2025-01-09,Jeu,5.1,17.75,Plat_du_jour
2025-01-09,Jeu,5.1,9.62,Dessert
2025-01-09,Jeu,5.1,14.04,Vegetarien
2025-01-10,Ven,7.4,25.62,Grill
2025-01-10,Ven,7.4,9.34,Enfant
2025-01-11,Sam,1.2,8.65,Dessert
2025-01-11,Sam,1.2,9.18,Enfant
2025-01-11,Sam,1.2,20.4,Grill
2025-01-11,Sam,1.2,10.51,Enfant
2025-01-12,Dim,5.5,12.37,Enfant
2025-01-12,Dim,5.5,24.54,Grill
2025-01-12,Dim,5.5,12.78,Entree
2025-01-12,Dim,5.5,22.53,Grill
2025-01-12,Dim,5.5,18.28,Plat_du_jour
2025-01-13,Lun,5.7,17.79,Plat_du_jour
2025-01-13,Lun,5.7,11.11,Entree
2025-01-13,Lun,5.7,9.12,Entree
2025-01-14,Mar,7.1,19.7,Plat_du_jour
2025-01-14,Mar,7.1,19.01,Plat_du_jour
2025-01-15,Mer,1.3,18.33,Plat_du_jour
2025-01-15,Mer,1.3,18.89,Plat_du_jour
2025-01-15,Mer,1.3,15.79,Plat_du_jour
2025-01-16,Jeu,2.2,19.77,Plat_du_jour
2025-01-16,Jeu,2.2,28.35,Grill
2025-01-16,Jeu,2.2,13.52,Plat_du_jour
2025-01-17,Ven,5.9,14.31,Vegetarien
2025-01-17,Ven,5.9,25.91,Grill
2025-01-17,Ven,5.9,7.95,Enfant
2025-01-17,Ven,5.9,21.19,Grill
2025-01-17,Ven,5.9,8.77,Dessert
2025-01-18,Sam,3.0,11.96,Entree
2025-01-18,Sam,3.0,9.76,Enfant
2025-01-18,Sam,3.0,12.22,Enfant
2025-01-18,Sam,3.0,22.58,Grill
2025-01-18,Sam,3.0,23.09,Grill
2025-01-18,Sam,3.0,27.61,Grill
2025-01-19,Dim,2.7,24.91,Grill
2025-01-19,Dim,2.7,16.05,Vegetarien
2025-01-20,Lun,5.0,17.31,Plat_du_jour
2025-01-20,Lun,5.0,7.88,Entree
2025-01-20,Lun,5.0,20.74,Grill
2025-01-20,Lun,5.0,12.62,Entree
2025-01-21,Mar,7.2,9.47,Entree
2025-01-21,Mar,7.2,17.25,Plat_du_jour
2025-01-21,Mar,7.2,13.45,Plat_du_jour
2025-01-21,Mar,7.2,17.13,Plat_du_jour
2025-01-21,Mar,7.2,13.59,Plat_du_jour
2025-01-22,Mer,1.9,15.5,Plat_du_jour
2025-01-22,Mer,1.9,14.94,Plat_du_jour
2025-01-22,Mer,1.9,18.86,Grill
2025-01-22,Mer,1.9,15.32,Plat_du_jour
2025-01-23,Jeu,3.6,16.71,Plat_du_jour
2025-01-23,Jeu,3.6,12.19,Entree
2025-01-23,Jeu,3.6,13.94,Plat_du_jour
2025-01-23,Jeu,3.6,13.71,Plat_du_jour
